epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,8664.48,0.95617,0.53857,1.02253,0.94174,0.91667,0.95468,0.64736,1.14331,0.53273,1.10975,0.0010232,0.0010232,0.0010232
76,8769.49,0.95336,0.54504,1.01291,0.94963,0.91234,0.94655,0.64555,1.13584,0.54118,1.11225,0.00101,0.00101,0.00101
77,8868.13,0.92208,0.51442,1.00281,0.94228,0.92154,0.95768,0.65062,1.12738,0.52128,1.10685,0.0009968,0.0009968,0.0009968
78,8972.31,0.93823,0.53593,1.00487,0.9507,0.90323,0.95835,0.63648,1.16553,0.53179,1.12884,0.0009836,0.0009836,0.0009836
79,9075.59,0.91312,0.52712,1.00327,0.93706,0.87634,0.94138,0.6422,1.14711,0.55542,1.11162,0.0009704,0.0009704,0.0009704
80,9179.27,0.92505,0.5243,1.00095,0.92785,0.89887,0.95355,0.63848,1.16338,0.54286,1.10746,0.0009572,0.0009572,0.0009572
81,9284.3,0.91644,0.52116,0.99344,0.92887,0.89516,0.94491,0.63315,1.14181,0.53844,1.10024,0.000944,0.000944,0.000944
82,9408.7,0.91497,0.50983,1.00155,0.90796,0.91935,0.94829,0.64988,1.13174,0.52557,1.09301,0.0009308,0.0009308,0.0009308
83,35851.6,0.89716,0.51469,0.98813,0.94307,0.88978,0.95246,0.64448,1.15845,0.54195,1.11351,0.0009176,0.0009176,0.0009176
84,35953.7,0.91826,0.50247,0.99148,0.92888,0.91284,0.94946,0.63439,1.17964,0.55353,1.11886,0.0009044,0.0009044,0.0009044
85,36054.4,0.90113,0.50776,0.9961,0.95005,0.89247,0.95792,0.64418,1.1488,0.5225,1.10878,0.0008912,0.0008912,0.0008912
86,36155.6,0.8958,0.50988,0.98963,0.9015,0.91935,0.95621,0.64014,1.16218,0.53605,1.11134,0.000878,0.000878,0.000878
87,36255.9,0.883,0.49903,0.98953,0.95113,0.91398,0.96105,0.64233,1.15551,0.51189,1.10995,0.0008648,0.0008648,0.0008648
88,36355.3,0.87474,0.49923,0.98638,0.91816,0.91935,0.95532,0.64235,1.15417,0.51512,1.11958,0.0008516,0.0008516,0.0008516
89,36456,0.87063,0.49146,0.98061,0.89657,0.91935,0.94927,0.63862,1.13896,0.52608,1.11818,0.0008384,0.0008384,0.0008384
90,36555.4,0.86252,0.48523,0.99248,0.9239,0.91667,0.95258,0.64909,1.13702,0.51164,1.11107,0.0008252,0.0008252,0.0008252
